queue,global_key,split,predicted_species,confidence,species_labelled_crowns,species_top1_accuracy,novelty_rank,batch_id
normal,comb_DJI_20250110140428_0030_V_124zoom.JPG,,uncaria tomentosa,0.157420,53,0.7170,2266,39
normal,comb_DJI_20251009103723_0003_V_7256zoom.JPG,,luehea seemannii,0.332450,143,0.8741,2267,37
normal,comb_DJI_20240912095019_0032_V_3652zoom.JPG,,davilla nitida,0.250060,21,0.7619,2271,42
normal,comb_DJI_20241124091815_0022_V_1051zoom.JPG,,fridericia candicans,0.793770,40,0.8250,2273,44
normal,comb_DJI_20251017100745_0013_V_10744zoom.JPG,,hippocratea volubilis,0.495630,19,0.8421,2278,31
normal,comb_DJI_20251014114905_0005_V_4742zoom.JPG,,protium stevensonii,0.633430,45,0.7333,2282,34
normal,comb_DJI_20241127092441_0028_V_2099zoom.JPG,,apeiba membranacea,0.789280,40,0.7750,2283,41
normal,comb_DJI_20250930121310_0063_V_697zoom.JPG,,hippocratea volubilis,0.316690,19,0.8421,2284,31
normal,comb_DJI_20251017101528_0041_V_575zoom.JPG,,calophyllum longifolium,0.573960,43,0.8837,2288,40
normal,comb_DJI_20251010114523_0045_V_7016zoom.JPG,,pouteria stipitata,0.334260,20,0.8000,2293,46
normal,comb_DJI_20241024125016_0002_V_1806zoom.JPG,,uncaria tomentosa,0.353510,53,0.7170,2294,39
normal,comb_DJI_20251017113717_0041_V_8058zoom.JPG,,ochroma pyramidale,0.583030,20,0.9000,2298,29
normal,comb_DJI_20260114095847_0027_V_7450zoom.JPG,,protium stevensonii,0.615750,45,0.7333,2301,34
normal,comb_DJI_20250804145530_0017_V_7856zoom.JPG,,apeiba tibourbou,0.397680,14,0.7143,2304,48
normal,comb_DJI_20241101105352_0018_V_863zoom.JPG,,fridericia candicans,0.780570,40,0.8250,2307,44
normal,comb_DJI_20250522103731_0041_V_30zoom.JPG,,davilla nitida,0.043280,21,0.7619,2309,42
normal,comb_DJI_20241226132038_0008_V_2320zoom.JPG,,hippocratea volubilis,0.268020,19,0.8421,2310,31
normal,comb_DJI_20251001123433_0017_V_5098zoom.JPG,,protium stevensonii,0.789020,45,0.7333,2311,34
normal,comb_DJI_20250520100949_0046_V_21zoom.JPG,,protium stevensonii,0.196950,45,0.7333,2312,34
normal,comb_DJI_20251010090256_0049_V_4146zoom.JPG,,davilla nitida,0.301190,21,0.7619,2319,42
normal,comb_DJI_20251015134021_0039_V_6261zoom.JPG,,luehea seemannii,0.683170,143,0.8741,2320,37
normal,comb_DJI_20241231110742_0060_V_4644zoom.JPG,,sterculia apetala,0.220190,54,0.8148,2322,40
normal,comb_DJI_20260114112456_0019_V_1564zoom.JPG,,prioria copaifera,0.799510,121,0.9008,2324,20
normal,comb_DJI_20241226110037_0046_V_404zoom.JPG,,spondias radlkoferi,0.577860,11,0.8182,2325,31
normal,comb_DJI_20250814142826_0031_V_3353zoom.JPG,,davilla nitida,0.234130,21,0.7619,2326,42
normal,comb_DJI_20250522091545_0001_V_48zoom.JPG,,davilla nitida,0.252780,21,0.7619,2327,42
