species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
ficus maxima,Ficus maxima,2,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1853,0.1853,0.1619,0.2088,0.0469,,True,True,2-4,unmeasured
ficus popenoei,Ficus popenoei,2,1,0.5000,1,0.5000,3,0.3333,0.5000,0.4000,0.0900,0.0900,0.0640,0.1160,0.0520,0.0380,True,True,2-4,unmeasured
inga acuminata,Inga acuminata,2,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.2277,0.2277,0.2130,0.2423,0.0293,,False,True,2-4,unreachable
inga thibaudiana,Inga thibaudiana,2,2,1.0000,2,1.0000,2,1.0000,1.0000,1.0000,0.6715,0.6715,0.5272,0.8159,0.2887,0.6715,True,True,2-4,unmeasured
luehea speciosa,Luehea speciosa,2,1,0.5000,1,0.5000,1,1.0000,0.5000,0.6667,0.5042,0.5042,0.3131,0.6953,0.3822,0.8864,True,True,2-4,unmeasured
platymiscium dimorphandrum,Platymiscium dimorphandrum,2,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.3354,0.3354,0.2467,0.4241,0.1775,,False,True,2-4,unreachable
serjania pyramidata,Serjania pyramidata,2,2,1.0000,2,1.0000,2,1.0000,1.0000,1.0000,0.2497,0.2497,0.2136,0.2859,0.0723,0.2497,True,True,2-4,unmeasured
socratea exorrhiza,Socratea exorrhiza,2,0,0.0000,1,0.5000,0,0.0000,0.0000,0.0000,0.2646,0.2646,0.1973,0.3318,0.1345,,True,True,2-4,unmeasured
swartzia simplex,Swartzia simplex var. continentalis|Swartzia simplex var. grandiflora,2,1,0.5000,1,0.5000,1,1.0000,0.5000,0.6667,0.2569,0.2569,0.1461,0.3676,0.2215,0.4784,True,True,2-4,unmeasured
symphonia globulifera,Symphonia globulifera,2,2,1.0000,2,1.0000,3,0.6667,1.0000,0.8000,0.3395,0.3395,0.2272,0.4517,0.2245,0.3395,True,True,2-4,unmeasured
tanaecium pyramidatum,Tanaecium pyramidatum,2,0,0.0000,0,0.0000,2,0.0000,0.0000,0.0000,0.2608,0.2608,0.2341,0.2875,0.0534,,True,True,2-4,unmeasured
tetrathylacium johansenii,Tetrathylacium johansenii,2,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.6701,0.6701,0.6301,0.7101,0.0801,,False,True,2-4,unreachable
tynanthus croatianus,Tynnanthus croatianus,2,1,0.5000,1,0.5000,1,1.0000,0.5000,0.6667,0.4595,0.4595,0.3269,0.5922,0.2653,0.7248,True,True,2-4,unmeasured
virola fosteri,Virola fosteri,2,1,0.5000,1,0.5000,8,0.1250,0.5000,0.2000,0.4609,0.4609,0.2478,0.6741,0.4263,0.8872,True,True,2-4,unmeasured
vochysia ferruginea,Vochysia ferruginea,2,1,0.5000,1,0.5000,1,1.0000,0.5000,0.6667,0.1904,0.1904,0.1263,0.2545,0.1282,0.3186,True,True,2-4,unmeasured
zanthoxylum panamense,Zanthoxylum panamense,2,1,0.5000,1,0.5000,1,1.0000,0.5000,0.6667,0.5178,0.5178,0.3235,0.7122,0.3887,0.9065,True,True,2-4,unmeasured
adelphia hiraea,Adelphia hiraea,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0417,0.0417,0.0417,0.0417,0.0000,,False,True,1,unreachable
aegiphila cephalophora,Aegiphila cephalophora,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1339,0.1339,0.1339,0.1339,0.0000,,False,True,1,unreachable
anacardium occidentale,Anacardium occidentale,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1275,0.1275,0.1275,0.1275,0.0000,,True,True,1,unmeasured
annona spraguei,Annona spraguei,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.1653,0.1653,0.1653,0.1653,0.0000,,True,True,1,ranking
blakea parasitica,Blakea parasitica,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.0449,0.0449,0.0449,0.0449,0.0000,0.0449,True,True,1,unmeasured
bombax ceiba,Pochota quinata,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.3005,0.3005,0.3005,0.3005,0.0000,,True,True,1,ranking
casearia arborea,Casearia arborea,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.6341,0.6341,0.6341,0.6341,0.0000,,True,True,1,unmeasured
